Deaths,CreationDate,Name
1,2020-03-19,Croatia
1,2020-03-20,Croatia
1,2020-03-21,Croatia
1,2020-03-22,Croatia
1,2020-03-23,Croatia
1,2020-03-24,Croatia
1,2020-03-25,Croatia
3,2020-03-26,Croatia
3,2020-03-27,Croatia
5,2020-03-28,Croatia
6,2020-03-29,Croatia
6,2020-03-30,Croatia
6,2020-03-31,Croatia
6,2020-04-01,Croatia
7,2020-04-02,Croatia
8,2020-04-03,Croatia
12,2020-04-04,Croatia
15,2020-04-05,Croatia
16,2020-04-06,Croatia
18,2020-04-07,Croatia
19,2020-04-08,Croatia
20,2020-04-09,Croatia
21,2020-04-10,Croatia
21,2020-04-11,Croatia
23,2020-04-12,Croatia
25,2020-04-13,Croatia
31,2020-04-14,Croatia
33,2020-04-15,Croatia
35,2020-04-16,Croatia
36,2020-04-17,Croatia
39,2020-04-18,Croatia
47,2020-04-19,Croatia
47,2020-04-20,Croatia
48,2020-04-21,Croatia
48,2020-04-22,Croatia
50,2020-04-23,Croatia
51,2020-04-24,Croatia
54,2020-04-25,Croatia
55,2020-04-26,Croatia
59,2020-04-27,Croatia
63,2020-04-28,Croatia
67,2020-04-29,Croatia
69,2020-04-30,Croatia
75,2020-05-01,Croatia
77,2020-05-02,Croatia
79,2020-05-03,Croatia
80,2020-05-04,Croatia
83,2020-05-05,Croatia
85,2020-05-06,Croatia
86,2020-05-07,Croatia
86,2020-05-08,Croatia
87,2020-05-09,Croatia
90,2020-05-10,Croatia
91,2020-05-11,Croatia
91,2020-05-12,Croatia
94,2020-05-13,Croatia
94,2020-05-14,Croatia
95,2020-05-15,Croatia
95,2020-05-16,Croatia
95,2020-05-17,Croatia
95,2020-05-18,Croatia
96,2020-05-19,Croatia
96,2020-05-20,Croatia
97,2020-05-21,Croatia
99,2020-05-22,Croatia
99,2020-05-23,Croatia
99,2020-05-24,Croatia
100,2020-05-25,Croatia
101,2020-05-26,Croatia
101,2020-05-27,Croatia
102,2020-05-28,Croatia
103,2020-05-29,Croatia
103,2020-05-30,Croatia
103,2020-05-31,Croatia
103,2020-06-01,Croatia
103,2020-06-02,Croatia
103,2020-06-03,Croatia
103,2020-06-04,Croatia
103,2020-06-05,Croatia
104,2020-06-06,Croatia
104,2020-06-07,Croatia
104,2020-06-08,Croatia
106,2020-06-09,Croatia
106,2020-06-10,Croatia
106,2020-06-11,Croatia
107,2020-06-12,Croatia
107,2020-06-13,Croatia
107,2020-06-14,Croatia
107,2020-06-15,Croatia
107,2020-06-16,Croatia
107,2020-06-17,Croatia
107,2020-06-18,Croatia
107,2020-06-19,Croatia
107,2020-06-20,Croatia
107,2020-06-21,Croatia
107,2020-06-22,Croatia
107,2020-06-23,Croatia
107,2020-06-24,Croatia
107,2020-06-25,Croatia
107,2020-06-26,Croatia
107,2020-06-27,Croatia
107,2020-06-28,Croatia
107,2020-06-29,Croatia
107,2020-06-30,Croatia
108,2020-07-01,Croatia
110,2020-07-02,Croatia
112,2020-07-03,Croatia
113,2020-07-04,Croatia
113,2020-07-05,Croatia
113,2020-07-06,Croatia
113,2020-07-07,Croatia
114,2020-07-08,Croatia
115,2020-07-09,Croatia
117,2020-07-10,Croatia
118,2020-07-11,Croatia
119,2020-07-12,Croatia
119,2020-07-13,Croatia
120,2020-07-14,Croatia
120,2020-07-15,Croatia
120,2020-07-16,Croatia
120,2020-07-17,Croatia
120,2020-07-18,Croatia
120,2020-07-19,Croatia
122,2020-07-20,Croatia
123,2020-07-21,Croatia
125,2020-07-22,Croatia
128,2020-07-23,Croatia
128,2020-07-24,Croatia
133,2020-07-25,Croatia
136,2020-07-26,Croatia
139,2020-07-27,Croatia
140,2020-07-28,Croatia
141,2020-07-29,Croatia
144,2020-07-30,Croatia
145,2020-07-31,Croatia
145,2020-08-01,Croatia
149,2020-08-02,Croatia
153,2020-08-03,Croatia
154,2020-08-04,Croatia
154,2020-08-05,Croatia
155,2020-08-06,Croatia
155,2020-08-07,Croatia
157,2020-08-08,Croatia
157,2020-08-09,Croatia
158,2020-08-10,Croatia
160,2020-08-11,Croatia
160,2020-08-12,Croatia
161,2020-08-13,Croatia
163,2020-08-14,Croatia
165,2020-08-15,Croatia
166,2020-08-16,Croatia
166,2020-08-17,Croatia
166,2020-08-18,Croatia
168,2020-08-19,Croatia
168,2020-08-20,Croatia
169,2020-08-21,Croatia
170,2020-08-22,Croatia
171,2020-08-23,Croatia
173,2020-08-24,Croatia
175,2020-08-25,Croatia
175,2020-08-26,Croatia
177,2020-08-27,Croatia
180,2020-08-28,Croatia
183,2020-08-29,Croatia
184,2020-08-30,Croatia
186,2020-08-31,Croatia
187,2020-09-01,Croatia
191,2020-09-02,Croatia
194,2020-09-03,Croatia
195,2020-09-04,Croatia
197,2020-09-05,Croatia
198,2020-09-06,Croatia
201,2020-09-07,Croatia
203,2020-09-08,Croatia
206,2020-09-09,Croatia
208,2020-09-10,Croatia
211,2020-09-11,Croatia
218,2020-09-12,Croatia
224,2020-09-13,Croatia
227,2020-09-14,Croatia
230,2020-09-15,Croatia
236,2020-09-16,Croatia
238,2020-09-17,Croatia
244,2020-09-18,Croatia
244,2020-09-19,Croatia
248,2020-09-20,Croatia
253,2020-09-21,Croatia
255,2020-09-22,Croatia
257,2020-09-23,Croatia
261,2020-09-24,Croatia
266,2020-09-25,Croatia
269,2020-09-26,Croatia
272,2020-09-27,Croatia
272,2020-09-28,Croatia
275,2020-09-29,Croatia
280,2020-09-30,Croatia
284,2020-10-01,Croatia
291,2020-10-02,Croatia
293,2020-10-03,Croatia
298,2020-10-04,Croatia
300,2020-10-05,Croatia
304,2020-10-06,Croatia
309,2020-10-07,Croatia
310,2020-10-08,Croatia
313,2020-10-09,Croatia
317,2020-10-10,Croatia
324,2020-10-11,Croatia
327,2020-10-12,Croatia
330,2020-10-13,Croatia
334,2020-10-14,Croatia
344,2020-10-15,Croatia
345,2020-10-16,Croatia
355,2020-10-17,Croatia
363,2020-10-18,Croatia
374,2020-10-19,Croatia
382,2020-10-20,Croatia
393,2020-10-21,Croatia
406,2020-10-22,Croatia
413,2020-10-23,Croatia
429,2020-10-24,Croatia
437,2020-10-25,Croatia
452,2020-10-26,Croatia
470,2020-10-27,Croatia
493,2020-10-28,Croatia
511,2020-10-29,Croatia
531,2020-10-30,Croatia
546,2020-10-31,Croatia
562,2020-11-01,Croatia
594,2020-11-02,Croatia
628,2020-11-03,Croatia
654,2020-11-04,Croatia
683,2020-11-05,Croatia
717,2020-11-06,Croatia
752,2020-11-07,Croatia
794,2020-11-08,Croatia
832,2020-11-09,Croatia
865,2020-11-10,Croatia
893,2020-11-11,Croatia
925,2020-11-12,Croatia
968,2020-11-13,Croatia
1006,2020-11-14,Croatia
1049,2020-11-15,Croatia
1082,2020-11-16,Croatia
1113,2020-11-17,Croatia
1151,2020-11-18,Croatia
1200,2020-11-19,Croatia
1257,2020-11-20,Croatia
1304,2020-11-21,Croatia
1353,2020-11-22,Croatia
1398,2020-11-23,Croatia
1445,2020-11-24,Croatia
1501,2020-11-25,Croatia
1552,2020-11-26,Croatia
1600,2020-11-27,Croatia
1655,2020-11-28,Croatia
1712,2020-11-29,Croatia
1786,2020-11-30,Croatia
1861,2020-12-01,Croatia
1916,2020-12-02,Croatia
1964,2020-12-03,Croatia
2032,2020-12-04,Croatia
2102,2020-12-05,Croatia
2174,2020-12-06,Croatia
2233,2020-12-07,Croatia
2298,2020-12-08,Croatia
2367,2020-12-09,Croatia
2420,2020-12-10,Croatia
2484,2020-12-11,Croatia
2562,2020-12-12,Croatia
2640,2020-12-13,Croatia
2705,2020-12-14,Croatia
2778,2020-12-15,Croatia
2870,2020-12-16,Croatia
2955,2020-12-17,Croatia
3023,2020-12-18,Croatia
3101,2020-12-19,Croatia
3177,2020-12-20,Croatia
3257,2020-12-21,Croatia
3328,2020-12-22,Croatia
3394,2020-12-23,Croatia
3464,2020-12-24,Croatia
3548,2020-12-25,Croatia
3613,2020-12-26,Croatia
3671,2020-12-27,Croatia
3739,2020-12-28,Croatia
3795,2020-12-29,Croatia
3860,2020-12-30,Croatia
3920,2020-12-31,Croatia
3961,2021-01-01,Croatia
4016,2021-01-02,Croatia
4072,2021-01-03,Croatia
4126,2021-01-04,Croatia
4179,2021-01-05,Croatia
4223,2021-01-06,Croatia
4266,2021-01-07,Croatia
4304,2021-01-08,Croatia
4342,2021-01-09,Croatia
4368,2021-01-10,Croatia
4403,2021-01-11,Croatia
4446,2021-01-12,Croatia
4472,2021-01-13,Croatia
4517,2021-01-14,Croatia
4550,2021-01-15,Croatia
4588,2021-01-16,Croatia
4616,2021-01-17,Croatia
4655,2021-01-18,Croatia
4684,2021-01-19,Croatia
4711,2021-01-20,Croatia
4738,2021-01-21,Croatia
4770,2021-01-22,Croatia
4799,2021-01-23,Croatia
4827,2021-01-24,Croatia
4859,2021-01-25,Croatia
4882,2021-01-26,Croatia
4913,2021-01-27,Croatia
4943,2021-01-28,Croatia
4972,2021-01-29,Croatia
4998,2021-01-30,Croatia
5027,2021-01-31,Croatia
5054,2021-02-01,Croatia
5071,2021-02-02,Croatia
5088,2021-02-03,Croatia
5106,2021-02-04,Croatia
5122,2021-02-05,Croatia
5144,2021-02-06,Croatia
5169,2021-02-07,Croatia
5198,2021-02-08,Croatia
5224,2021-02-09,Croatia
5238,2021-02-10,Croatia
5263,2021-02-11,Croatia
5282,2021-02-12,Croatia
5299,2021-02-13,Croatia
5318,2021-02-14,Croatia
5339,2021-02-15,Croatia
5357,2021-02-16,Croatia
5375,2021-02-17,Croatia
5399,2021-02-18,Croatia
5407,2021-02-19,Croatia
5420,2021-02-20,Croatia
5429,2021-02-21,Croatia
5449,2021-02-22,Croatia
5462,2021-02-23,Croatia
5477,2021-02-24,Croatia
5489,2021-02-25,Croatia
5503,2021-02-26,Croatia
5511,2021-02-27,Croatia
5526,2021-02-28,Croatia
5537,2021-03-01,Croatia
5548,2021-03-02,Croatia
5555,2021-03-03,Croatia
5564,2021-03-04,Croatia
5570,2021-03-05,Croatia
5585,2021-03-06,Croatia
5590,2021-03-07,Croatia
5609,2021-03-08,Croatia
5621,2021-03-09,Croatia
5625,2021-03-10,Croatia
5635,2021-03-11,Croatia
5647,2021-03-12,Croatia
5670,2021-03-13,Croatia
5677,2021-03-14,Croatia
5685,2021-03-15,Croatia
5697,2021-03-16,Croatia
5709,2021-03-17,Croatia
5726,2021-03-18,Croatia
5743,2021-03-19,Croatia
5753,2021-03-20,Croatia
5773,2021-03-21,Croatia
5786,2021-03-22,Croatia
5808,2021-03-23,Croatia
5828,2021-03-24,Croatia
5838,2021-03-25,Croatia
5854,2021-03-26,Croatia
5872,2021-03-27,Croatia
5893,2021-03-28,Croatia
5911,2021-03-29,Croatia
5928,2021-03-30,Croatia
5947,2021-03-31,Croatia
5967,2021-04-01,Croatia
5996,2021-04-02,Croatia
6025,2021-04-03,Croatia
6058,2021-04-04,Croatia
6083,2021-04-05,Croatia
6113,2021-04-06,Croatia
6149,2021-04-07,Croatia
6185,2021-04-08,Croatia
6235,2021-04-09,Croatia
6269,2021-04-10,Croatia
6308,2021-04-11,Croatia
6333,2021-04-12,Croatia
6358,2021-04-13,Croatia
6399,2021-04-14,Croatia
6442,2021-04-15,Croatia
6486,2021-04-16,Croatia
6523,2021-04-17,Croatia
6562,2021-04-18,Croatia
6601,2021-04-19,Croatia
6643,2021-04-20,Croatia
6692,2021-04-21,Croatia
6738,2021-04-22,Croatia
6784,2021-04-23,Croatia
6815,2021-04-24,Croatia
6854,2021-04-25,Croatia
6905,2021-04-26,Croatia
6957,2021-04-27,Croatia
7001,2021-04-28,Croatia
7040,2021-04-29,Croatia
7081,2021-04-30,Croatia
7130,2021-05-01,Croatia
7182,2021-05-02,Croatia
7218,2021-05-03,Croatia
7264,2021-05-04,Croatia
7315,2021-05-05,Croatia
7355,2021-05-06,Croatia
7388,2021-05-07,Croatia
7424,2021-05-08,Croatia
7469,2021-05-09,Croatia
7503,2021-05-10,Croatia
7549,2021-05-11,Croatia
7589,2021-05-12,Croatia
7623,2021-05-13,Croatia
7664,2021-05-14,Croatia
7687,2021-05-15,Croatia
7708,2021-05-16,Croatia
7738,2021-05-17,Croatia
7765,2021-05-18,Croatia
7792,2021-05-19,Croatia
7828,2021-05-20,Croatia
7856,2021-05-21,Croatia
7883,2021-05-22,Croatia
7903,2021-05-23,Croatia
7929,2021-05-24,Croatia
7950,2021-05-25,Croatia
