Deaths,CreationDate,Name
1,2020-03-26,Kenya
1,2020-03-27,Kenya
1,2020-03-28,Kenya
1,2020-03-29,Kenya
1,2020-03-30,Kenya
1,2020-03-31,Kenya
1,2020-04-01,Kenya
3,2020-04-02,Kenya
4,2020-04-03,Kenya
4,2020-04-04,Kenya
4,2020-04-05,Kenya
6,2020-04-06,Kenya
6,2020-04-07,Kenya
6,2020-04-08,Kenya
7,2020-04-09,Kenya
7,2020-04-10,Kenya
7,2020-04-11,Kenya
8,2020-04-12,Kenya
9,2020-04-13,Kenya
9,2020-04-14,Kenya
10,2020-04-15,Kenya
11,2020-04-16,Kenya
11,2020-04-17,Kenya
12,2020-04-18,Kenya
14,2020-04-19,Kenya
14,2020-04-20,Kenya
14,2020-04-21,Kenya
14,2020-04-22,Kenya
14,2020-04-23,Kenya
14,2020-04-24,Kenya
14,2020-04-25,Kenya
14,2020-04-26,Kenya
14,2020-04-27,Kenya
14,2020-04-28,Kenya
15,2020-04-29,Kenya
17,2020-04-30,Kenya
21,2020-05-01,Kenya
22,2020-05-02,Kenya
24,2020-05-03,Kenya
24,2020-05-04,Kenya
24,2020-05-05,Kenya
26,2020-05-06,Kenya
29,2020-05-07,Kenya
29,2020-05-08,Kenya
30,2020-05-09,Kenya
32,2020-05-10,Kenya
33,2020-05-11,Kenya
36,2020-05-12,Kenya
40,2020-05-13,Kenya
42,2020-05-14,Kenya
45,2020-05-15,Kenya
50,2020-05-16,Kenya
50,2020-05-17,Kenya
50,2020-05-18,Kenya
50,2020-05-19,Kenya
50,2020-05-20,Kenya
50,2020-05-21,Kenya
50,2020-05-22,Kenya
50,2020-05-23,Kenya
51,2020-05-24,Kenya
52,2020-05-25,Kenya
52,2020-05-26,Kenya
55,2020-05-27,Kenya
58,2020-05-28,Kenya
62,2020-05-29,Kenya
63,2020-05-30,Kenya
64,2020-05-31,Kenya
69,2020-06-01,Kenya
71,2020-06-02,Kenya
74,2020-06-03,Kenya
78,2020-06-04,Kenya
79,2020-06-05,Kenya
83,2020-06-06,Kenya
84,2020-06-07,Kenya
85,2020-06-08,Kenya
88,2020-06-09,Kenya
89,2020-06-10,Kenya
92,2020-06-11,Kenya
96,2020-06-12,Kenya
100,2020-06-13,Kenya
103,2020-06-14,Kenya
104,2020-06-15,Kenya
105,2020-06-16,Kenya
107,2020-06-17,Kenya
117,2020-06-18,Kenya
119,2020-06-19,Kenya
121,2020-06-20,Kenya
123,2020-06-21,Kenya
125,2020-06-22,Kenya
128,2020-06-23,Kenya
130,2020-06-24,Kenya
132,2020-06-25,Kenya
137,2020-06-26,Kenya
141,2020-06-27,Kenya
143,2020-06-28,Kenya
144,2020-06-29,Kenya
148,2020-06-30,Kenya
149,2020-07-01,Kenya
152,2020-07-02,Kenya
154,2020-07-03,Kenya
159,2020-07-04,Kenya
160,2020-07-05,Kenya
164,2020-07-06,Kenya
167,2020-07-07,Kenya
169,2020-07-08,Kenya
173,2020-07-09,Kenya
181,2020-07-10,Kenya
184,2020-07-11,Kenya
185,2020-07-12,Kenya
197,2020-07-13,Kenya
202,2020-07-14,Kenya
209,2020-07-15,Kenya
217,2020-07-16,Kenya
222,2020-07-17,Kenya
225,2020-07-18,Kenya
234,2020-07-19,Kenya
238,2020-07-20,Kenya
250,2020-07-21,Kenya
260,2020-07-22,Kenya
263,2020-07-23,Kenya
274,2020-07-24,Kenya
278,2020-07-25,Kenya
280,2020-07-26,Kenya
285,2020-07-27,Kenya
299,2020-07-28,Kenya
311,2020-07-29,Kenya
325,2020-07-30,Kenya
341,2020-07-31,Kenya
364,2020-08-01,Kenya
369,2020-08-02,Kenya
382,2020-08-03,Kenya
388,2020-08-04,Kenya
391,2020-08-05,Kenya
399,2020-08-06,Kenya
413,2020-08-07,Kenya
418,2020-08-08,Kenya
420,2020-08-09,Kenya
423,2020-08-10,Kenya
438,2020-08-11,Kenya
456,2020-08-12,Kenya
460,2020-08-13,Kenya
465,2020-08-14,Kenya
472,2020-08-15,Kenya
474,2020-08-16,Kenya
482,2020-08-17,Kenya
487,2020-08-18,Kenya
506,2020-08-19,Kenya
516,2020-08-20,Kenya
532,2020-08-21,Kenya
542,2020-08-22,Kenya
548,2020-08-23,Kenya
554,2020-08-24,Kenya
559,2020-08-25,Kenya
564,2020-08-26,Kenya
567,2020-08-27,Kenya
567,2020-08-28,Kenya
572,2020-08-29,Kenya
574,2020-08-30,Kenya
577,2020-08-31,Kenya
577,2020-09-01,Kenya
581,2020-09-02,Kenya
585,2020-09-03,Kenya
589,2020-09-04,Kenya
594,2020-09-05,Kenya
597,2020-09-06,Kenya
599,2020-09-07,Kenya
599,2020-09-08,Kenya
607,2020-09-09,Kenya
612,2020-09-10,Kenya
616,2020-09-11,Kenya
619,2020-09-12,Kenya
622,2020-09-13,Kenya
624,2020-09-14,Kenya
634,2020-09-15,Kenya
634,2020-09-16,Kenya
642,2020-09-17,Kenya
646,2020-09-18,Kenya
646,2020-09-19,Kenya
648,2020-09-20,Kenya
650,2020-09-21,Kenya
659,2020-09-22,Kenya
664,2020-09-23,Kenya
669,2020-09-24,Kenya
682,2020-09-25,Kenya
689,2020-09-26,Kenya
691,2020-09-27,Kenya
700,2020-09-28,Kenya
707,2020-09-29,Kenya
711,2020-09-30,Kenya
711,2020-10-01,Kenya
725,2020-10-02,Kenya
728,2020-10-03,Kenya
731,2020-10-04,Kenya
735,2020-10-05,Kenya
743,2020-10-06,Kenya
748,2020-10-07,Kenya
751,2020-10-08,Kenya
755,2020-10-09,Kenya
760,2020-10-10,Kenya
766,2020-10-11,Kenya
777,2020-10-12,Kenya
787,2020-10-13,Kenya
797,2020-10-14,Kenya
805,2020-10-15,Kenya
813,2020-10-16,Kenya
825,2020-10-17,Kenya
832,2020-10-18,Kenya
839,2020-10-19,Kenya
842,2020-10-20,Kenya
858,2020-10-21,Kenya
870,2020-10-22,Kenya
884,2020-10-23,Kenya
896,2020-10-24,Kenya
902,2020-10-25,Kenya
920,2020-10-26,Kenya
934,2020-10-27,Kenya
934,2020-10-28,Kenya
964,2020-10-29,Kenya
981,2020-10-30,Kenya
981,2020-10-31,Kenya
1013,2020-11-01,Kenya
1027,2020-11-02,Kenya
1039,2020-11-03,Kenya
1051,2020-11-04,Kenya
1072,2020-11-05,Kenya
1093,2020-11-06,Kenya
1103,2020-11-07,Kenya
1111,2020-11-08,Kenya
1130,2020-11-09,Kenya
1154,2020-11-10,Kenya
1180,2020-11-11,Kenya
1203,2020-11-12,Kenya
1228,2020-11-13,Kenya
1228,2020-11-14,Kenya
1269,2020-11-15,Kenya
1287,2020-11-16,Kenya
1302,2020-11-17,Kenya
1313,2020-11-18,Kenya
1330,2020-11-19,Kenya
1349,2020-11-20,Kenya
1366,2020-11-21,Kenya
1380,2020-11-22,Kenya
1392,2020-11-23,Kenya
1409,2020-11-24,Kenya
1417,2020-11-25,Kenya
1427,2020-11-26,Kenya
1441,2020-11-27,Kenya
1445,2020-11-28,Kenya
1452,2020-11-29,Kenya
1469,2020-11-30,Kenya
1474,2020-12-01,Kenya
1484,2020-12-02,Kenya
1500,2020-12-03,Kenya
1506,2020-12-04,Kenya
1518,2020-12-05,Kenya
1526,2020-12-06,Kenya
1531,2020-12-07,Kenya
1545,2020-12-08,Kenya
1552,2020-12-09,Kenya
1568,2020-12-10,Kenya
1582,2020-12-11,Kenya
1586,2020-12-12,Kenya
1587,2020-12-13,Kenya
1593,2020-12-14,Kenya
1604,2020-12-15,Kenya
1614,2020-12-16,Kenya
1618,2020-12-17,Kenya
1629,2020-12-18,Kenya
1633,2020-12-19,Kenya
1639,2020-12-20,Kenya
1644,2020-12-21,Kenya
1647,2020-12-22,Kenya
1648,2020-12-23,Kenya
1652,2020-12-24,Kenya
1653,2020-12-25,Kenya
1655,2020-12-26,Kenya
1658,2020-12-27,Kenya
1664,2020-12-28,Kenya
1665,2020-12-29,Kenya
1667,2020-12-30,Kenya
1670,2020-12-31,Kenya
1681,2021-01-01,Kenya
1685,2021-01-02,Kenya
1685,2021-01-03,Kenya
1686,2021-01-04,Kenya
1690,2021-01-05,Kenya
1694,2021-01-06,Kenya
1702,2021-01-07,Kenya
1703,2021-01-08,Kenya
1704,2021-01-09,Kenya
1710,2021-01-10,Kenya
1713,2021-01-11,Kenya
1716,2021-01-12,Kenya
1720,2021-01-13,Kenya
1723,2021-01-14,Kenya
1726,2021-01-15,Kenya
1728,2021-01-16,Kenya
1731,2021-01-17,Kenya
1734,2021-01-18,Kenya
1734,2021-01-19,Kenya
1736,2021-01-20,Kenya
1739,2021-01-21,Kenya
1740,2021-01-22,Kenya
1740,2021-01-23,Kenya
1744,2021-01-24,Kenya
1744,2021-01-25,Kenya
1750,2021-01-26,Kenya
1751,2021-01-27,Kenya
1753,2021-01-28,Kenya
1753,2021-01-29,Kenya
1755,2021-01-30,Kenya
1763,2021-01-31,Kenya
1766,2021-02-01,Kenya
1766,2021-02-02,Kenya
1769,2021-02-03,Kenya
1773,2021-02-04,Kenya
1776,2021-02-05,Kenya
1776,2021-02-06,Kenya
1779,2021-02-07,Kenya
1786,2021-02-08,Kenya
1789,2021-02-09,Kenya
1791,2021-02-10,Kenya
1794,2021-02-11,Kenya
1794,2021-02-12,Kenya
1795,2021-02-13,Kenya
1795,2021-02-14,Kenya
1795,2021-02-15,Kenya
1797,2021-02-16,Kenya
1801,2021-02-17,Kenya
1807,2021-02-18,Kenya
1813,2021-02-19,Kenya
1817,2021-02-20,Kenya
1823,2021-02-21,Kenya
1827,2021-02-22,Kenya
1837,2021-02-23,Kenya
1839,2021-02-24,Kenya
1847,2021-02-25,Kenya
1853,2021-02-26,Kenya
1854,2021-02-27,Kenya
1856,2021-02-28,Kenya
1859,2021-03-01,Kenya
1863,2021-03-02,Kenya
1866,2021-03-03,Kenya
1870,2021-03-04,Kenya
1873,2021-03-05,Kenya
1874,2021-03-06,Kenya
1876,2021-03-07,Kenya
1879,2021-03-08,Kenya
1886,2021-03-09,Kenya
1898,2021-03-10,Kenya
1899,2021-03-11,Kenya
1901,2021-03-12,Kenya
1908,2021-03-13,Kenya
1913,2021-03-14,Kenya
1918,2021-03-15,Kenya
1925,2021-03-16,Kenya
1937,2021-03-17,Kenya
1954,2021-03-18,Kenya
1982,2021-03-19,Kenya
1994,2021-03-20,Kenya
2011,2021-03-21,Kenya
2023,2021-03-22,Kenya
2048,2021-03-23,Kenya
2066,2021-03-24,Kenya
2092,2021-03-25,Kenya
2098,2021-03-26,Kenya
2104,2021-03-27,Kenya
2117,2021-03-28,Kenya
2135,2021-03-29,Kenya
2147,2021-03-30,Kenya
2153,2021-03-31,Kenya
2167,2021-04-01,Kenya
2186,2021-04-02,Kenya
2206,2021-04-03,Kenya
2224,2021-04-04,Kenya
2244,2021-04-05,Kenya
2258,2021-04-06,Kenya
2276,2021-04-07,Kenya
2292,2021-04-08,Kenya
2309,2021-04-09,Kenya
2330,2021-04-10,Kenya
2348,2021-04-11,Kenya
2368,2021-04-12,Kenya
2394,2021-04-13,Kenya
2420,2021-04-14,Kenya
2424,2021-04-15,Kenya
2443,2021-04-16,Kenya
2463,2021-04-17,Kenya
2481,2021-04-18,Kenya
2501,2021-04-19,Kenya
2519,2021-04-20,Kenya
2540,2021-04-21,Kenya
2560,2021-04-22,Kenya
2583,2021-04-23,Kenya
2603,2021-04-24,Kenya
2622,2021-04-25,Kenya
2643,2021-04-26,Kenya
2665,2021-04-27,Kenya
2688,2021-04-28,Kenya
2707,2021-04-29,Kenya
2724,2021-04-30,Kenya
2744,2021-05-01,Kenya
2763,2021-05-02,Kenya
2781,2021-05-03,Kenya
2805,2021-05-04,Kenya
2825,2021-05-05,Kenya
2850,2021-05-06,Kenya
2865,2021-05-07,Kenya
2883,2021-05-08,Kenya
2895,2021-05-09,Kenya
2907,2021-05-10,Kenya
2928,2021-05-11,Kenya
2950,2021-05-12,Kenya
2968,2021-05-13,Kenya
2976,2021-05-14,Kenya
3001,2021-05-15,Kenya
3003,2021-05-16,Kenya
3013,2021-05-17,Kenya
3021,2021-05-18,Kenya
3035,2021-05-19,Kenya
3040,2021-05-20,Kenya
3043,2021-05-21,Kenya
3049,2021-05-22,Kenya
3059,2021-05-23,Kenya
3073,2021-05-24,Kenya
3087,2021-05-25,Kenya
